rank,bgg_id,name,year_published,min_players,max_players,min_playtime_minutes,max_playtime_minutes,minimum_age,average_rating,bayes_average,users_rated,average_weight,versions_count,videos_count,image_url,bgg_url
26,169786,Scythe,2016,1,5,115,115,14,8.09528,7.93966,94397,3.4522,28,15,https://cf.geekdo-images.com/7k_nOxpO9OGIjhLq2BUZdA__original/img/HlDb9F365w0tSP8uD1vf1pfniQE=/0x0/filters:format(jpeg)/pic3163924.jpg,https://boardgamegeek.com/boardgame/169786
27,177736,A Feast for Odin,2016,1,4,30,120,12,8.15996,7.93934,34025,3.8677,23,15,https://cf.geekdo-images.com/s9oGMCo1fcfV4Dk3EnqLZw__original/img/N1X-0JB1GapFVhl98nP4tNFXMcM=/0x0/filters:format(png)/pic3146943.png,https://boardgamegeek.com/boardgame/177736
28,266507,Clank! Legacy: Acquisitions Incorporated,2019,2,4,90,120,13,8.48605,7.92987,11525,2.7412,7,15,https://cf.geekdo-images.com/hc2NDafu5c24iLJh_IZmyg__original/img/1Fpyz7j7rTvMPRiDdPjn0Vf0m2k=/0x0/filters:format(png)/pic4885780.png,https://boardgamegeek.com/boardgame/266507
29,124361,Concordia,2013,2,5,100,100,13,8.07478,7.92318,46231,2.9855,29,15,https://cf.geekdo-images.com/CzwSm8i7tkLz6cBnrILZBg__original/img/BhJ3sB3uk-eSdR1iW4EP3cu0Wi0=/0x0/filters:format(jpeg)/pic3453267.jpg,https://boardgamegeek.com/boardgame/124361
30,312484,Lost Ruins of Arnak,2020,1,4,30,120,12,8.08386,7.91747,58479,2.9338,26,15,https://cf.geekdo-images.com/6GqH14TJJhza86BX5HCLEQ__original/img/CXqwimJPonWy1oyXEMgPN_ZVmUI=/0x0/filters:format(jpeg)/pic5674958.jpg,https://boardgamegeek.com/boardgame/312484
31,341169,Great Western Trail: Second Edition,2021,1,4,75,150,12,8.26018,7.90526,18531,3.6997,16,15,https://cf.geekdo-images.com/gDn7AhrDlmfCLSz9ZqoNFQ__original/img/yecB1xO32nnjBAyskVOTq9LBuLo=/0x0/filters:format(jpeg)/pic5988511.jpg,https://boardgamegeek.com/boardgame/341169
32,373106,Sky Team,2023,2,2,20,20,10,8.1117,7.8904,34151,2.0413,37,15,https://cf.geekdo-images.com/uXMeQzNenHb3zK7Hoa6b2w__original/img/mWOQnkpyYBorh_Y1-0Y2o-ew17k=/0x0/filters:format(jpeg)/pic7398904.jpg,https://boardgamegeek.com/boardgame/373106
33,205637,Arkham Horror: The Card Game,2016,1,2,60,120,14,8.11754,7.8888,48144,3.5674,12,15,https://cf.geekdo-images.com/B5F5ulz0UivNgrI9Ky0euA__original/img/guEKCewM_2e5ugltSN3dTSwdZJI=/0x0/filters:format(jpeg)/pic3122349.jpg,https://boardgamegeek.com/boardgame/205637
34,237182,Root,2018,2,4,60,90,14,8.06971,7.88053,65817,3.8421,37,15,https://cf.geekdo-images.com/JUAUWaVUzeBgzirhZNmHHw__original/img/E0s2LvtFA1L5YKk-_44D4u2VD2s=/0x0/filters:format(jpeg)/pic4254509.jpg,https://boardgamegeek.com/boardgame/237182
35,164928,Orléans,2014,2,5,90,90,12,8.04652,7.85887,36053,3.0115,27,15,https://cf.geekdo-images.com/nagl1li6kYt9elV9jbfVQw__original/img/Qn6vlBaTUaHNFsqohIUjd0EA4z0=/0x0/filters:format(jpeg)/pic6228507.jpg,https://boardgamegeek.com/boardgame/164928
36,120677,Terra Mystica,2012,2,5,60,150,12,8.03151,7.85637,51333,3.9719,19,15,https://cf.geekdo-images.com/bre12I1YiXkZr7elvriz4A__original/img/_dZS7fVfdc4DhJPbqnDpwTT4uF0=/0x0/filters:format(jpeg)/pic5375624.jpg,https://boardgamegeek.com/boardgame/120677
